Number of images loaded: 10023
Loaded 9428 training samples
Loaded 496 validation samples
Loaded 104 test samples
EPOCH 242/300 	 train loss 0.01641705632209778 	 val loss 0.019709916785359383

EPOCH 243/300 	 train loss 0.01643085852265358 	 val loss 0.019335996359586716

EPOCH 244/300 	 train loss 0.016391843557357788 	 val loss 0.018459701910614967

EPOCH 245/300 	 train loss 0.016410568729043007 	 val loss 0.01866837963461876

EPOCH 246/300 	 train loss 0.016396379098296165 	 val loss 0.018544970080256462

EPOCH 247/300 	 train loss 0.0163805540651083 	 val loss 0.01866891421377659

EPOCH 248/300 	 train loss 0.01634940318763256 	 val loss 0.018522942438721657

EPOCH 249/300 	 train loss 0.016390729695558548 	 val loss 0.02172100357711315

EPOCH 250/300 	 train loss 0.016300514340400696 	 val loss 0.020786955952644348

EPOCH 251/300 	 train loss 0.01633511483669281 	 val loss 0.01830330118536949

EPOCH 252/300 	 train loss 0.016347737982869148 	 val loss 0.01799405924975872

EPOCH 253/300 	 train loss 0.01631820574402809 	 val loss 0.018168210983276367

EPOCH 254/300 	 train loss 0.016328828409314156 	 val loss 0.018530258908867836

EPOCH 255/300 	 train loss 0.016379544511437416 	 val loss 0.019715821370482445

EPOCH 256/300 	 train loss 0.016318608075380325 	 val loss 0.020549220964312553

EPOCH 257/300 	 train loss 0.016323337331414223 	 val loss 0.018592974171042442

EPOCH 258/300 	 train loss 0.01629609800875187 	 val loss 0.01857033744454384

EPOCH 259/300 	 train loss 0.01632067561149597 	 val loss 0.0182598028331995

EPOCH 260/300 	 train loss 0.016300776973366737 	 val loss 0.018024379387497902

EPOCH 261/300 	 train loss 0.016290506348013878 	 val loss 0.018296442925930023

EPOCH 262/300 	 train loss 0.01627844199538231 	 val loss 0.01895078644156456

EPOCH 263/300 	 train loss 0.01625109650194645 	 val loss 0.018886994570493698

EPOCH 264/300 	 train loss 0.016266098245978355 	 val loss 0.018024131655693054

EPOCH 265/300 	 train loss 0.0162627212703228 	 val loss 0.018415821716189384

EPOCH 266/300 	 train loss 0.016304565593600273 	 val loss 0.01910747028887272

EPOCH 267/300 	 train loss 0.016226178035140038 	 val loss 0.01826300472021103

EPOCH 268/300 	 train loss 0.01627921126782894 	 val loss 0.01816459372639656

EPOCH 269/300 	 train loss 0.01630050502717495 	 val loss 0.019370317459106445

EPOCH 270/300 	 train loss 0.01622939109802246 	 val loss 0.020185021683573723

EPOCH 271/300 	 train loss 0.016225306317210197 	 val loss 0.018037807196378708

EPOCH 272/300 	 train loss 0.01624332182109356 	 val loss 0.019549239426851273

EPOCH 273/300 	 train loss 0.01622241921722889 	 val loss 0.018679605796933174

EPOCH 274/300 	 train loss 0.016253121197223663 	 val loss 0.019477643072605133

EPOCH 275/300 	 train loss 0.01623528078198433 	 val loss 0.01849210634827614

EPOCH 276/300 	 train loss 0.016207639127969742 	 val loss 0.01837797649204731

EPOCH 277/300 	 train loss 0.01620730385184288 	 val loss 0.01822236180305481

EPOCH 278/300 	 train loss 0.016207562759518623 	 val loss 0.018126163631677628

EPOCH 279/300 	 train loss 0.016237996518611908 	 val loss 0.018381191417574883

EPOCH 280/300 	 train loss 0.016192974522709846 	 val loss 0.018057020381093025

EPOCH 281/300 	 train loss 0.01618681102991104 	 val loss 0.01801932603120804

EPOCH 282/300 	 train loss 0.01620401255786419 	 val loss 0.01852419041097164

EPOCH 283/300 	 train loss 0.01616075076162815 	 val loss 0.018309125676751137

EPOCH 284/300 	 train loss 0.0161734726279974 	 val loss 0.018444472923874855

EPOCH 285/300 	 train loss 0.01619129814207554 	 val loss 0.01808943971991539

EPOCH 286/300 	 train loss 0.016167812049388885 	 val loss 0.01900293678045273

EPOCH 287/300 	 train loss 0.016186006367206573 	 val loss 0.01812942512333393

EPOCH 288/300 	 train loss 0.016167297959327698 	 val loss 0.017882442101836205

EPOCH 289/300 	 train loss 0.01617351360619068 	 val loss 0.01903398334980011

EPOCH 290/300 	 train loss 0.01614329218864441 	 val loss 0.018904607743024826

EPOCH 291/300 	 train loss 0.016128191724419594 	 val loss 0.018170500174164772

EPOCH 292/300 	 train loss 0.016127096489071846 	 val loss 0.018613342195749283

EPOCH 293/300 	 train loss 0.01618829183280468 	 val loss 0.0180122721940279

EPOCH 294/300 	 train loss 0.016171058639883995 	 val loss 0.018000060692429543

EPOCH 295/300 	 train loss 0.016101544722914696 	 val loss 0.018041977658867836

EPOCH 296/300 	 train loss 0.01611373946070671 	 val loss 0.018793858587741852

EPOCH 297/300 	 train loss 0.016130786389112473 	 val loss 0.018612926825881004

EPOCH 298/300 	 train loss 0.016093119978904724 	 val loss 0.018474873155355453

EPOCH 299/300 	 train loss 0.01611826755106449 	 val loss 0.018363652750849724

EPOCH 300/300 	 train loss 0.016093233600258827 	 val loss 0.02038770727813244

